Store,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Address,City,State,Zip,Total_Sales,Percentag_Dry_Grocery,Percentage_General_Merchandise,Percentage_Frozen_Food,Percentage_Meat,Perentage_Produce,Percentage_Floral,Percentage_Deli,Percentage_Bakery,Percentage_Dairy,Cluster
S0014,54956244.94,12163260.71,9490894.06999999,12064839.64,13172927.55,1415184.94,4352178.99,2396905.55,13487920.73,3901 Portola Pkwy,Irvine,CA,92620,123500357.12,0.444988550815294,0.109213617227798,7.6849122474829e-02,9.76907267424102e-02,0.106663072538328,1.14589542330224e-02,3.52402138057882e-02,1.94080859836788e-02,9.84876561788518e-02,3
S0015,59312196.72,13321350.12,10300080.29,13395756.19,14540544.1,1076928.51,4946498.96000001,3477502.27,13725735.04,10675 Scripps Poway Pkwy,San Diego,CA,92131,134096592.2,0.442309500539269,0.102357075707998,7.68109026561824e-02,9.98963207806262e-02,0.108433360322187,8.0309908874776e-03,3.68875813982095e-02,2.59328161360987e-02,9.93414515719513e-02,3
S0016,43762623.71,8615849.66999998,7155174.13999999,10440609.43,8341689.51000001,615521.62,4256401.11,2677747.59,6893275.06,1201 Avocado Ave,El Cajon,CA,92020,92758891.84,0.471788988008678,7.4313900514144e-02,7.71373395915722e-02,0.112556426913864,8.9928731839408e-02,6.63571553939772e-03,4.58867179800064e-02,2.88678264356463e-02,9.28843531772834e-02,2
S0017,52469613.13,12220738.37,9286871.46,11711893.68,15974807.49,1556117.62,5129946.02,3443237.74,8278286.61999999,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,120071512.13,0.436986360871276,6.89446353522823e-02,7.73445032485742e-02,9.7540985969425e-02,0.133044110185805,1.29599235688413e-02,4.27240894113657e-02,2.86765584851805e-02,0.101778832907249,1
S0018,44739448.46,9944523.94000001,7542956.31,10220097.36,10682299.61,956753.040000001,4394589.48,3416126.97,6810527.2,10001 Paramount Blvd,Downey,CA,90240,98707322.37,0.453253592396075,6.89971831519353e-02,7.64173936531838e-02,0.103539404317852,0.108221957130575,9.69282741166511e-03,4.45214131483283e-02,3.46086479500964e-02,0.100747580840289,2
S0019,42953285.44,8695805.03999999,6848611.42999999,9804123.16999999,8455447.47999999,477968.64,2934541.27,1674831.96,7005884.32,17390 Main St,Hesperia,CA,92345,88850498.75,0.483433250733441,7.8850253161916e-02,7.70801686692839e-02,0.110344042047372,9.5164884822889e-02,5.37947053448588e-03,3.3027853656252e-02,1.88500006591128e-02,9.78700757152474e-02,3
S0020,42078531.08,9791703.93999999,7003753.06999999,9824212.17,10065474.06,728643.689999999,3733526.35,2665310.19,5798413.65999999,850 Linden Ave,Carpinteria,CA,93013,91689568.2099999,0.458923865620416,6.32396222732741e-02,7.63854951738789e-02,0.10714645473626,0.109777745238659,7.94685485191903e-03,4.07192052802449e-02,2.90688487472811e-02,0.106791908078067,2
S0021,36213138.51,10271460.12,7149159.02,7308057.71000001,12303012.12,588383.8,3169025.97,2315858.8,4296968.14999999,1311 Wilshire Blvd,Santa Monica,CA,90403,83615064.2,0.433093472527645,5.13898804134386e-02,8.55008494988394e-02,8.74012090993528e-02,0.1471387032673,7.03681574163045e-03,3.7900179833863e-02,2.76966695195099e-02,0.122842220098421,1
S0022,53283707.54,11106147.11,8724829.37,11700981.41,10454967.02,971934.01,5045599.3,3723043.89999999,8319527.83999999,13438 Poway Rd,Poway,CA,92064,113330737.5,0.470161129411163,7.34092799846113e-02,7.69855518676035e-02,0.103246318413837,9.22518219737167e-02,8.57608475370594e-03,4.4521013551156e-02,3.28511397889738e-02,9.79976602552329e-02,2
S0023,31491447.85,7873008.42,5928340.4,7959178.28,7663828.4,658188.23,2868590.49,2573146.93,4971360,5922 Edinger Ave,Huntington Beach,CA,92649,71987089,0.437459665163013,6.90590502971998e-02,8.23528285745795e-02,0.110563969047283,0.106461151665683,9.14314273772065e-03,3.98486802265334e-02,3.57445615004657e-02,0.109366950787522,1
S0024,42253475.44,9961665.37,7627819.46,9736688.2,10660751.32,590572.969999999,4017858.03000001,2107170.83,6835407.25,15740 La Forge St,Whittier,CA,90603,93791408.87,0.450504752504204,7.28788204842327e-02,8.1327485661001e-02,0.103812154197359,0.113664475759996,6.29666381084611e-03,4.2838230904165e-02,2.24665654923753e-02,0.10621085118582,2
S0025,55779073.64,12665155.55,9690292.48999999,12834056.38,13531569.73,680796.560000002,5282035.94,3785917.53,7284254.67,2684 N Tustin St,Orange,CA,92865,121533152.49,0.458961793528639,5.99363590983898e-02,7.97337375972151e-02,0.105601279297482,0.111340563893571,5.60173537879731e-03,4.34616878751221e-02,3.11513151138864e-02,0.104211528216896,2
S0026,38490842.2399999,8887283.86,6505219.55,8337062.13999999,9486526.41999999,683784.76,3317157.77,2570619.30000001,5805929.11,2039 Verdugo Blvd,Montrose,CA,91020,84084425.1499999,0.457764231263226,6.90488054076921e-02,7.73653329780777e-02,9.91510868407239e-02,0.112821445863212,8.13212148123963e-03,3.94503234586246e-02,3.05718840964213e-02,0.105694768610784,2
S0027,46553559.48,11101558.4,8127116.73999999,10802170.44,13831092.97,1674725.81,3413175.9,2483550.44,7298041.56000001,29211 Heathercliff Rd,Malibu,CA,90265,105284991.74,0.442167100083585,6.93170169782834e-02,7.71915978306747e-02,0.102599337868362,0.131368134635521,1.5906595824557e-02,3.24184467661715e-02,2.35888363474739e-02,0.105442933665372,1
S0028,30677269.0699999,7097440.62,5246965.74,7998873.16,7921167.85999999,235270.86,2549587.72999999,2082044.91,4021145.77,24160 Lyons Ave,Newhall,CA,91321,67829765.7199999,0.452268539399578,5.92829081350394e-02,7.73549146794843e-02,0.117925708206324,0.116780115277096,3.46854891068317e-03,3.75880367997237e-02,3.06951511316528e-02,0.104636077460419,2
S0029,57616471.86,13230381.74,9515234.78,16952627.21,12814734.27,800537.490000001,5575975.87999999,2459376.91999999,11742939.78,2058 W Avenue J,Lancaster,CA,93534,130708279.93,0.440802004975172,8.98408255872456e-02,7.27974906034708e-02,0.129698189120681,9.80407230273618e-02,6.12461192534034e-03,4.2659699010546e-02,1.88157699062148e-02,0.101220685843968,3
S0030,42934241.99,10732090.84,6827598.47,11191280.58,11620800.72,855592.070000001,4663685.24,3142147.88,6556357.59999999,3125 W Florida Ave,Hemet,CA,92545,98523795.39,0.435775355791437,6.65459300877222e-02,6.9298979429014e-02,0.113589621022008,0.117949178409133,8.68411602104036e-03,4.73356230496308e-02,3.18922740193069e-02,0.108928922170707,2
S0031,52217255.17,11474839.22,8588377.2,12610847.61,9813089.42000001,774929.64,4454083.90999999,2282250.89,11520552.41,31564 Grape St,Lake Elsinore,CA,92532,113736225.47,0.459108388327633,0.101291847539276,7.55113611737128e-02,0.110878021122007,8.62793659579321e-02,6.81339333002924e-03,3.91615238820708e-02,2.00661739966216e-02,0.100889924670717,3
S0032,22792001.51,4956673.72,3762233.06,5717626.1,4889563.91999999,370401.41,2160630.72,1175028.44,4955032.14999999,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,50779191.03,0.448845305482213,0.0975799741881,7.40900550734907e-02,0.112597817807339,9.62907013841806e-02,7.29435429133106e-03,4.25495301554433e-02,2.31399598175127e-02,9.76123018003897e-02,3
S0033,58548116.9,13862154.55,10487980.95,15687019.66,15294337.73,1186925.78,5677262.59999999,3811566.07,9322660.15000001,11322 Los Alamitos Blvd,Los Alamitos,CA,90720,133878024.39,0.437324326877154,6.96354774615001e-02,7.8339824611151e-02,0.117173970347084,0.11424083825323,8.86572524062923e-03,4.24062322839599e-02,2.84704385754642e-02,0.103543166349827,2
S0034,53956075.64,13079953.91,10087120.21,13399836.93,14389275.79,1490487,5715787.14,3687913,8424759.12000001,1125 Maricopa Hwy,Ojai,CA,93023,124231208.74,0.434319815344654,6.78151585696308e-02,8.11963460092467e-02,0.10786208285266,0.115826578006778,1.19976857274197e-02,4.60092693130146e-02,2.96858819728489e-02,0.105287182203746,1
S0035,33619355.03,7471532.41,5676845.72000001,8888770.72,6644282.98000001,522583.059999999,3052659.39,2114601.69,5022257.01,81 W Foothill Blvd,Upland,CA,91786,73012888.0100001,0.460457817055469,6.87858972146416e-02,7.77512830231081e-02,0.121742489062788,9.10015089266157e-02,7.15740842806307e-03,4.18098704653609e-02,0.02896203324693,0.102331692577024,2
S0036,36150916.13,7220594.24999998,5898831.08999999,7411672.33,7579235.20000001,443113.54,2426901.07999999,1210828.07,5979362.47,33644 Yucaipa Blvd,Yucaipa,CA,92399,74321454.16,0.486412927984078,8.04527109645563e-02,7.93691560084511e-02,9.97245332961875e-02,0.101979102611251,5.96212150324805e-03,3.26541118904285e-02,1.62917704407844e-02,9.71535653010154e-02,3
S0037,40170433.5,9318830.27,7177220.16999999,10064351.96,10708155.57,812467.220000001,4061405.85,1994270.64,9608302.66000001,4627 Carmel Mountain Rd,San Diego,CA,92130,93915437.8399999,0.427729821889738,0.102308021779862,7.64221552395628e-02,0.107163978483987,0.114019119926194,8.65105076104921e-03,4.3245348617969e-02,2.12347478313157e-02,9.92257554703213e-02,3
S0038,35729240.47,8890095.04,6530627.70999999,9597385.57000003,8462439.19,624462.549999999,3221997.08,2336610.34,5526908.20999999,5805 E Los Angeles Ave,Simi Valley,CA,93063,80919766.16,0.441539096879664,6.83010897371085e-02,8.07049750624241e-02,0.118603723483622,0.104578146867942,7.71705826194888e-03,3.98171822892969e-02,2.88756437503773e-02,0.109863083667616,2
S0039,37943822.0299999,9425331.60000002,6366390.98,10969659.43,7142198.57,726469.210000001,3435123.08,4220509.18,5400277.99,1221 S Gaffey St,San Pedro,CA,90731,85629782.0699999,0.443114779843559,6.30654178891338e-02,7.43478591922101e-02,0.128105656289451,8.34078797977257e-02,8.48383812779218e-03,4.01159853144539e-02,4.92878654829444e-02,0.11007071806273,2
S0040,63460021.76,14699576.49,11020507.6,18809370.79,17984011.26,1167612.52,5900806.15000001,2773402.14,10860075.65,4550 Atlantic Ave,Long Beach,CA,90807,146675384.36,0.432656249969277,7.40415693975278e-02,7.51353585885364e-02,0.128238087611445,0.122610970739712,7.96052129056784e-03,4.02303779584246e-02,1.89084361503561e-02,0.100218428294153,3
S0041,46724525.05,10627230.41,8283667.26999999,10689173.83,9436567.27000001,646809.610000001,4985003.44000001,2869016.92,7170496.86,12801 Excelsior Dr,Santa Fe Springs,CA,90670,101432490.66,0.460646531954143,7.06923078921071e-02,8.16668033694124e-02,0.105382148860269,9.30329838949851e-02,6.37674975534314e-03,4.91460222219097e-02,2.82849893691056e-02,0.104771462682725,2
S0042,73127846.1700001,15817055.29,12474583.79,18353668.68,15038929.45,884897.510000001,7300809.15000001,4657768.77,9461031.39000002,13439 Camino Canada,El Cajon,CA,92021,157116590.2,0.465436820369591,6.02166287974853e-02,7.93969864934097e-02,0.116815599527948,9.57182779415996e-02,5.63210739791119e-03,4.64674617792209e-02,2.96453020274367e-02,0.100670815665397,2
S0043,46740342.7000001,10821075.15,8302315.94000001,11192388.27,12062818.56,888913.47,4059543.51,2694805.8,8057288.03999999,2048 E Avenida De Los Arboles,Thousand Oaks,CA,91360,104819491.44,0.445912702474375,7.68682229737022e-02,7.9205840688059e-02,0.106777738722446,0.115081826807993,8.48042151119217e-03,3.87288991220085e-02,2.57090142585031e-02,0.103235333441721,3
S0044,60969372.0300001,13968082.02,10317780.31,17318178.66,14805748.22,864633.539999999,5856493.8,5095939.42,9090365.88999999,7789 Foothill Blvd,Tujunga,CA,91042,138286593.89,0.440891414814209,6.57356988431642e-02,7.46115731088674e-02,0.125233966452133,0.107065680074362,6.25247549800649e-03,4.23504089243715e-02,3.68505671927501e-02,0.101008215092136,2
S0045,74045966.38,17334467.12,13796257.01,15288349.06,17282527.58,1601050.32,6744221.43999999,3677461.62,16698696.99,6351 Haven Ave,Rancho Cucamonga,CA,91737,166468997.52,0.444803341661885,0.100311152459447,8.28758340323548e-02,9.18390168004901e-02,0.103818295523307,9.6177086655889e-03,4.05133781092766e-02,2.20909699390613e-02,0.10413030280859,3
S0046,66829395.52,16548442.09,12361278.87,17491166.56,18851360,1705400.09,6116628.85,4724362.59,14445860.97,1820 Ximeno Ave,Long Beach,CA,90815,159073895.54,0.420115414242781,9.08122663430186e-02,7.77077774328578e-02,0.109956234494815,0.118506936263843,1.07208042162466e-02,3.84514934347725e-02,2.96991695209478e-02,0.104029904050717,1
S0047,80492518.2500001,17565349.63,14308327.81,19231649.83,18355262.84,1510117.02,7106556.13999999,3854764.88000001,18091845.02,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,180516391.42,0.445901436522302,0.100222727020431,7.92633161866691e-02,0.106536861714981,0.10168197300872,8.36553959516328e-03,3.93679271123111e-02,2.13540989251845e-02,9.73061199142378e-02,3
S0048,58444643.38,13242823.95,10693486.41,13584337.98,13128691.44,1175492.16,5355680.65,3593302.18,13362911.39,845 College Blvd,Oceanside,CA,92057,132581369.54,0.44082093572255,0.100790265150854,8.06560261604007e-02,0.102460383590332,9.90236523091507e-02,8.86619412726275e-03,4.03954240975327e-02,2.71026177544191e-02,9.98845010874973e-02,3
S0049,39445143.32,9722360.15999999,7890972.31999999,8431414.52999999,9942160.36,842287.630000001,3800152.19,2620987.54,6004002.83,550 E 1st St,Tustin,CA,92780,88699480.88,0.444705458573818,6.76892668416258e-02,8.89630045374849e-02,9.50559625191799e-02,0.112088145966159,9.49597023165804e-03,4.28430037278478e-02,2.95490741771746e-02,0.109610113425052,1
S0050,43629883.13,10827728.84,8376107.88,9787882.71,14600490.46,1589110.79,4000538.62,2235290.69,6568078.43000001,7 Peninsula Ctr,Rolling Hills Estates,CA,90274,101615111.55,0.429364121777613,6.46368274345511e-02,8.24297464445386e-02,9.63231015613642e-02,0.143684243783129,1.56385282243977e-02,3.93695244632145e-02,2.19976207859608e-02,0.106556285525231,1
S0051,54628586.14,12832759.54,10289317.26,10744750.85,14487650.28,995505.360000001,4821961.6,3886557.15,7446222.36,26022 Marguerite Pkwy,Mission Viejo,CA,92692,120133310.54,0.454733045268162,6.19829947791265e-02,8.56491610340999e-02,8.94402293727051e-02,0.120596445855674,8.28667216049569e-03,4.01384227099482e-02,3.23520356887686e-02,0.10682099313102,1
S0052,77314427.11,17431730.29,13120759.87,19956645.36,25667332.62,2761463.7,8411151.18,4532045.33,13862434.92,635 Foothill Blvd,La Canada,CA,91011,183057990.38,0.422349371090042,7.57270135612422e-02,7.16754283315541e-02,0.1090181604123,0.140214216089222,1.50851852698024e-02,4.59480144108419e-02,2.47574297117115e-02,9.52251811232845e-02,1
S0053,57765265.4200001,12307140.94,8921335.66000001,14497418.07,10741170.75,726888.64,5707662.51,3512592.35999999,7384748.29,750 N Imperial Ave,El Centro,CA,92243,121564222.64,0.475183110338853,6.07477112066859e-02,7.33878394996167e-02,0.119257276155441,8.83579931392221e-02,5.9794619190928e-03,4.69518283097376e-02,2.88949518511065e-02,0.101239827580244,2
S0054,77418772.71,18175971.76,14043840.95,19073978.53,19477833.46,1256642.64,7662606.27,5079455.36,11071274.98,2938 Tapo Canyon Rd,Simi Valley,CA,93063,173260376.66,0.446834840154618,6.38996358741957e-02,8.10562762284601e-02,0.110088520512858,0.112419433891816,7.25291416436195e-03,4.42259587432205e-02,2.93168897466254e-02,0.104905530683844,2
S0055,73622361.1100001,14589404.56,12191731.85,14990567.68,17155789.79,897407.070000001,5940807.98,2526352.74,9605700.57,330 W El Norte Pkwy,Escondido,CA,92026,151520123.35,0.485891639224303,6.33955434936622e-02,8.04627898951614e-02,9.89345002404264e-02,0.113224497252892,5.92269231412291e-03,3.92080460908626e-02,1.6673380961843e-02,9.62869105267263e-02,3
S0056,40356090.46,10061826.26,7302570.77,7797033.25000002,10054448.93,658934.48,2471154.59000001,1977766.12,4776101.76999999,32401 Camino Capistrano,San Juan Capistrano,CA,92675,85455926.63,0.472244489662261,5.58896493005004e-02,8.54542342231928e-02,9.12404037669495e-02,0.117656543279121,7.71081077679959e-03,2.89172990973394e-02,2.31436975525778e-02,0.117742872341258,1
S0057,36974434.44,8377956.27000001,6492078.18,12962369.49,9377387.34,486422.79,4251972.06,1539182.48,5066868.03,500 E Manchester Blvd,Inglewood,CA,90301,85528671.08,0.432304559080728,5.92417485975044e-02,7.59052853040073e-02,0.151555838835325,0.109640278769546,5.68724830934202e-03,4.97139965617246e-02,1.79960995601149e-02,9.79549449817081e-02,2
S0058,52822903.0400001,11690879.34,9058587.88000001,11944342.38,11584597.29,969037.940000002,5654506.38,3439634.59,7717987.95,1855 Cochran St,Simi Valley,CA,93065,114882476.79,0.459799479572137,6.71815943184105e-02,7.88509103660665e-02,0.103970098084094,0.10083867978557,8.43503697932417e-03,4.92199205483372e-02,2.99404633857912e-02,0.10176381696027,2
S0059,48802409.35,11224757.16,8156950.66000002,13367528.27,13965754.23,833351.050000002,5115540.22999999,3321980.88000001,9535411.14000002,950 N 2nd St,El Cajon,CA,92021,114323682.97,0.426879261428329,8.34071374563941e-02,7.1349614079005e-02,0.116927026165767,0.122159764863985,7.28939995940022e-03,4.47461111915225e-02,2.90576789839052e-02,9.81840058716924e-02,2
S0060,57268231.6500001,12744618.81,10158366.17,14266910.43,12585314.37,1258319.12,5319205.11000001,3122975.4,9681498.33000001,351 W Felicita Ave,Escondido,CA,92025,126405439.39,0.453051956674979,7.65908364127399e-02,8.0363362676651e-02,0.112866269828644,9.95630760094936e-02,9.95462795012873e-03,4.20805080514661e-02,2.47060206828968e-02,0.100823341713001,3
S0061,74669499.33,17559012.44,11772248.76,19667596.73,16983124.22,937889.050000001,7987467.3,5075349.53,9127868.21999998,57590 29 Palms Hys,Yucca Valley,CA,92284,163780055.58,0.455913261633538,5.57324772401325e-02,7.18784025216655e-02,0.120085419804936,0.103694702995777,5.72651564122763e-03,4.87694748405947e-02,3.09888130885442e-02,0.107210932233584,2
S0062,50432537.01,10552017.78,8421836.48,10019520.89,11826416.99,660357.440000001,4518314.56,2261089.94,8907597.92000001,11800 De Palma Rd,Corona,CA,92883,107599689.01,0.468705230228992,8.27846065537621e-02,7.82700819815316e-02,9.31184930197041e-02,0.109911256238862,6.13716866726844e-03,4.19918923704331e-02,2.10139077612935e-02,9.8067363178153e-02,3
S0063,34102965.72,9555547.37000001,6824235.51000001,8778726.40999999,11591705.37,819273.350000001,2646843.6,2501679.22,6129515.43999998,4520 W Sunset Blvd,Los Angeles,CA,90028,82950491.99,0.411124333344657,7.3893659856037e-02,8.22687767882401e-02,0.10583091431282,0.139742454708978,9.87665450011758e-03,3.19087149033316e-02,3.01587026186847e-02,0.115195788967134,1
S0064,39011144.03,9651040.02000001,6480744.42,10116644.49,10962387.89,808265.690000001,3797156.08,3921070.63,4876321.53,9119 Reseda Blvd,Northridge,CA,91324,89624774.7799999,0.435271877957404,5.44081872670788e-02,7.23097428797802e-02,0.112877767501599,0.122314258718185,9.01832882686772e-03,4.23672593802417e-02,4.37498519759181e-02,0.107682725492926,2
S0065,54052186.33,14073287.06,9364441.01000001,14981788.58,16090132,1495112.28,5244769.92999999,4118949.09,11150755.79,2340 Foothill Blvd,La Verne,CA,91750,130571422.07,0.413966436706359,8.53996656636092e-02,7.17189172143632e-02,0.114740180833507,0.123228588192706,1.14505322550478e-02,4.01678242210478e-02,3.15455635291451e-02,0.107782291384215,1
S0066,62092307.95,14079802.33,11349375.25,14820816.02,12307778.61,1193044.93,5922141.46,3592607.02,13438867.91,522 Orange St,Redlands,CA,92374,138796741.48,0.447361424251788,9.68240879915504e-02,8.17697528701378e-02,0.106780720224153,8.86748383194105e-02,8.59562636181854e-03,4.26677268994342e-02,2.5883943539969e-02,0.101441879541739,3
S0067,49065431.76,10595185.15,8523755.22999998,12349683.47,11011830.36,685995.879999999,4645010.98,2681446.74000001,6926629.83,660 E Los Angeles Ave,Simi Valley,CA,93065,106484969.4,0.460773309477046,6.50479581205571e-02,8.00465575379128e-02,0.115975837149463,0.103412062961066,6.4421850695484e-03,4.36212829488778e-02,2.5181457581374e-02,9.9499349154154e-02,2
S0068,65630482.35,15414910.65,11076155.05,15621649.08,18376466.96,1415288.83,7176770.45999999,5624540.67,9900542.96,1011 N San Fernando Blvd,Burbank,CA,91504,150236807.01,0.436846892956342,6.58995831783153e-02,7.37246435839306e-02,0.103980172308642,0.122316676756694,9.42038677583048e-03,4.77697217002375e-02,3.7437834189498e-02,0.10260408855051,2
S0069,40443326.06,10490022.09,7579728.01000001,11070264.81,12771734.08,729715.250000002,4240972.19000001,3653775.7,6918020.67,1440 W 25th St,San Pedro,CA,90732,97897558.86,0.413118841071784,7.06659159897259e-02,7.74250971961367e-02,0.113080090442615,0.130460189495271,7.45386563768707e-03,4.33205101269673e-02,3.73224393186876e-02,0.107153050721126,1
S0070,59009873.7599999,13300648.7,10274837.75,13384389.93,15351104.48,1073750.08,5128369.83000001,3040016.51,13966732.85,4550 Atlantic Ave,Long Beach,CA,90807,134529723.89,0.438638183842926,0.103818936411555,7.63759669825931e-02,9.9490205903819e-02,0.114109388141999,7.98150809317029e-03,3.8120719211416e-02,2.25973593202771e-02,9.88677320922435e-02,3
S0071,57857627.56,12823324.47,8858570.79000001,17496933.87,13706079.87,808756.660000001,5619550.75999999,2853309.27999999,10570186.89,1270 E Main St,Barstow,CA,92311,130594340.15,0.443033193425879,8.09390887680059e-02,6.78327313406163e-02,0.133979266252298,0.104951561103316,6.19289211975854e-03,4.30305842775836e-02,2.18486442576508e-02,9.81920384548916e-02,3
S0072,62923570.51,13451706.56,9196448.36999999,18319309.24,15935366.92,1167968.99,6297355.49999999,2643763.31000001,14420344.93,729 N H St,Lompoc,CA,93436,144355834.33,0.435892118957628,9.9894437913987e-02,6.37068007170167e-02,0.126903836793473,0.11038948992925,8.09090256324522e-03,4.36238377840976e-02,1.83142116996554e-02,9.31843636416465e-02,3
S0073,58590952.03,13483488.04,10517569.49,14436033.25,17026713.73,1134812.28,5955849.66000002,4876887.31000001,9873825.28,175 N Fairview Ave,Goleta,CA,93117,135896131.07,0.431145107433705,7.26571477955763e-02,7.73941789746937e-02,0.106228434439859,0.125292115352641,8.35058563525593e-03,4.38264843384847e-02,0.03588687383225,9.9219072197535e-02,2
S0074,36162682.45,8455722.37999999,6254612.57,10648456.83,7953694.63,378677.4,3131334,2724171.64,5020944.90999999,777 S Glendora Ave,West Covina,CA,91790,80730296.8099999,0.44794437626198,6.21940598313031e-02,7.74754065963653e-02,0.131901618732572,9.85218058682374e-02,4.69064793470565e-03,3.87875942952327e-02,3.37441053438883e-02,0.104740385135715,2
